date,location,rainfall,discharge,r_d_n-0,r_d_n-1,r_d_n-2,r_d_n-3,r_d_n-4,r_d_n-5,d_d_n+0,d_d_n+1,d_d_n+2,d_d_n+3,d_d_n+4,d_d_n+5,days_since_rain,month,season_str,season_int,target
01/04/2022,Newbury,0.29,0,0.29,0.29,0.29,0.29,0.29,0.29,0,0,0,0,0,0,0,4,Spring,1,0
02/04/2022,Newbury,0.12,0,0.12,0.41,0.41,0.41,0.41,0.41,0,0,0,0,0,0,0,4,Spring,1,0
03/04/2022,Newbury,4.14,0,4.14,4.26,4.55,4.55,4.55,4.55,0,0,0,0,0,0,0,4,Spring,1,0
04/04/2022,Newbury,0.21,0,0.21,4.35,4.47,4.76,4.76,4.76,0,0,0,0,0,0,0,4,Spring,1,0
05/04/2022,Newbury,0.88,0,0.88,1.0899999999999999,5.2299999999999995,5.35,5.64,5.64,0,0,0,0,0,0,0,4,Spring,1,0
06/04/2022,Newbury,11.83,0,11.83,12.71,12.92,17.06,17.18,17.47,0,0,0,0,0,0,0,4,Spring,1,0
07/04/2022,Newbury,0.27,0,0.27,12.099999999999998,12.979999999999999,13.19,17.33,17.450000000000003,0,0,0,0,0,0,0,4,Spring,1,0
08/04/2022,Newbury,0.82,0,0.82,1.089999999999998,12.92,13.8,14.01,18.150000000000002,0,0,0,0,0,0,0,4,Spring,1,0
09/04/2022,Newbury,0,0,0,0.8199999999999982,1.0899999999999999,12.92,13.799999999999999,14.01,0,0,0,0,0,0,1,4,Spring,1,0
10/04/2022,Newbury,0,0,0,0,0.82,1.0899999999999999,12.92,13.8,0,0,0,0,0,0,2,4,Spring,1,0
11/04/2022,Newbury,0.37,0,0.37,0.3699999999999982,0.37,1.19,1.46,13.29,0,0,0,0,0,0,0,4,Spring,1,0
12/04/2022,Newbury,0.07,0,0.07,0.4399999999999982,0.44,0.44,1.26,1.53,0,0,0,0,0,0,0,4,Spring,1,0
13/04/2022,Newbury,0.05,0,0.05,0.11999999999999823,0.49,0.49,0.49,1.31,0,0,0,0,0,0,0,4,Spring,1,0
14/04/2022,Newbury,0.01,0,0.01,0.06,0.13,0.5,0.5,0.5,0,0,0,0,0,0,1,4,Spring,1,0
15/04/2022,Newbury,0,0,0,0.01,0.060000000000000005,0.13,0.5,0.5,0,0,0,0,0,0,2,4,Spring,1,0
16/04/2022,Newbury,0,0,0,0,0.01,0.060000000000000005,0.13,0.5,0,0,0,0,0,0,3,4,Spring,1,0
17/04/2022,Newbury,0,0,0,0,0,0.01,0.060000000000000005,0.13,0,0,0,0,0,0,4,4,Spring,1,0
18/04/2022,Newbury,0,0,0,0,0,0,0.01,0.060000000000000005,0,0,0,0,0,0,5,4,Spring,1,0
19/04/2022,Newbury,0.03,0,0.03,0.029999999999998223,0.03,0.03,0.03,0.04,0,0,0,0,0,0,0,4,Spring,1,0
20/04/2022,Newbury,0,0,0,0.029999999999998223,0.03,0.03,0.03,0.03,0,0,0,0,0,0,1,4,Spring,1,0
21/04/2022,Newbury,0,0,0,0,0.03,0.03,0.03,0.03,0,0,0,0,0,0,2,4,Spring,1,0
22/04/2022,Newbury,0,0,0,0,0,0.03,0.03,0.03,0,0,0,0,0,0,3,4,Spring,1,0
23/04/2022,Newbury,0.01,0,0.01,0.01,0.01,0.01,0.04,0.04,0,0,0,0,0,0,4,4,Spring,1,0
24/04/2022,Newbury,0,0,0,0.01,0.01,0.01,0.01,0.04,0,0,0,0,0,0,5,4,Spring,1,0
25/04/2022,Newbury,0.01,0,0.01,0.01,0.02,0.02,0.02,0.02,0,0,0,0,0,0,6,4,Spring,1,0
26/04/2022,Newbury,0,0,0,0.01,0.01,0.02,0.02,0.02,0,0,0,0,0,0,7,4,Spring,1,0
27/04/2022,Newbury,0,0,0,0,0.01,0.01,0.02,0.02,0,0,0,0,0,0,8,4,Spring,1,0
28/04/2022,Newbury,0,0,0,0,0,0.01,0.01,0.02,0,0,0,0,0,0,9,4,Spring,1,0
29/04/2022,Newbury,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,10,4,Spring,1,0
30/04/2022,Newbury,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,11,4,Spring,1,0
01/05/2022,Newbury,1.26,0,1.26,1.2599999999999982,1.26,1.26,1.26,1.26,0,0,0,0,0,0,0,5,Spring,1,0
02/05/2022,Newbury,0,0,0,1.2599999999999982,1.26,1.26,1.26,1.26,0,0,0,0,0,0,1,5,Spring,1,0
03/05/2022,Newbury,0.27,0,0.27,0.26999999999999824,1.53,1.53,1.53,1.53,0,0,0,0,0,0,0,5,Spring,1,0
